domain,total_products,avg_price,hero_score,vendor_count,discount_ratio
thepicturegallery.myshopify.com,10,18.892000000000003,1.0581198390853268,2,0.3
betterhalf.myshopify.com,2,19.990000000000002,1.0495247623811905,2,0.0
jemz.myshopify.com,2,21.0,1.0476190476190477,1,0.0
freebord.myshopify.com,2,837.5,1.044776119402985,1,0.0
robertdeltredici.myshopify.com,18,153.61111111111111,1.0415913200723328,1,0.0
www.allbirds.com,250,91.524,1.0379791093046633,1,0.128
sickdomains.myshopify.com,2,19.5,1.0256410256410255,1,0.0
paypal.myshopify.com,2,19.5,1.0256410256410255,2,0.0
tristan.myshopify.com,2,19.5,1.0256410256410255,2,0.0
stevefab.myshopify.com,2,19.5,1.0256410256410255,2,0.0
bobruisk.myshopify.com,2,19.5,1.0256410256410255,2,0.0
sadegazoz.myshopify.com,2,19.5,1.0256410256410255,1,0.0
kreaptik.myshopify.com,2,19.5,1.0256410256410255,2,0.0
idiscgolf.myshopify.com,2,19.5,1.0256410256410255,2,0.5
salsa.myshopify.com,2,19.494999999999997,1.0253911259297257,2,0.0
imin.myshopify.com,2,19.494999999999997,1.0253911259297257,2,0.0
crexels.myshopify.com,2,19.494999999999997,1.0253911259297257,2,0.0
firewoodgripper.myshopify.com,2,19.475,1.0243902439024388,2,0.0
localhostin.myshopify.com,2,19.475,1.0243902439024388,1,0.0
cigarettes.myshopify.com,7,19.857142857142858,1.0071942446043165,7,0.0
faizal.myshopify.com,1,19.0,1.0,1,0.0
qwerty.myshopify.com,1,19.0,1.0,1,0.0
infogopher.myshopify.com,1,19.0,1.0,1,0.0
devilingro.myshopify.com,1,19.0,1.0,1,0.0
dvdstore.myshopify.com,1,19.0,1.0,1,0.0
media72.myshopify.com,1,19.0,1.0,1,0.0
sach.myshopify.com,1,19.0,1.0,1,0.0
travel.myshopify.com,1,19.0,1.0,1,0.0
rubbertree.myshopify.com,1,19.0,1.0,1,0.0
arrr.myshopify.com,1,1000.0,1.0,1,1.0
pssyn.myshopify.com,1,19.0,1.0,1,0.0
canoeskayaks.myshopify.com,1,19.0,1.0,1,0.0
pharmashirts.myshopify.com,1,19.0,1.0,1,0.0
huihui.myshopify.com,1,19.0,1.0,1,0.0
laksdhf.myshopify.com,1,19.0,1.0,1,0.0
baros.myshopify.com,1,19.0,1.0,1,0.0
greenheartcandles.myshopify.com,1,19.0,1.0,1,0.0
donjis.myshopify.com,1,19.0,1.0,1,0.0
friendlywebapps.myshopify.com,3,15.0,1.0,1,0.0
welshmusicstore.myshopify.com,1,19.0,1.0,1,0.0
myintarweb.myshopify.com,1,19.0,1.0,1,0.0
cypress.myshopify.com,1,19.0,1.0,1,0.0
viewcentral.myshopify.com,1,19.0,1.0,1,0.0
janmadedesigns.myshopify.com,1,19.0,1.0,1,0.0
invitations.myshopify.com,1,19.0,1.0,1,0.0
bushleague.myshopify.com,1,19.0,1.0,1,0.0
moli.myshopify.com,1,19.0,1.0,1,0.0
point.myshopify.com,1,19.0,1.0,1,0.0
adrock.myshopify.com,1,19.0,1.0,1,0.0
caleb.myshopify.com,1,19.0,1.0,1,0.0
nate.myshopify.com,1,19.0,1.0,1,0.0
tatiana.myshopify.com,1,19.0,1.0,1,0.0
rossmeissl.myshopify.com,1,19.0,1.0,1,0.0
edsbits.myshopify.com,1,19.0,1.0,1,0.0
brince.myshopify.com,1,19.0,1.0,1,0.0
breezeauctions.myshopify.com,1,19.0,1.0,1,0.0
xiria.myshopify.com,1,20.0,1.0,1,0.0
chispaspublicidad.myshopify.com,1,19.0,1.0,1,0.0
borsjesolutions.myshopify.com,1,19.0,1.0,1,0.0
thespot.myshopify.com,1,19.0,1.0,1,0.0
vasudevram.myshopify.com,1,19.0,1.0,1,0.0
pussies.myshopify.com,1,19.0,1.0,1,0.0
oreajax.myshopify.com,1,19.0,1.0,1,0.0
partners-and-partners.myshopify.com,1,19.0,1.0,1,0.0
vincentc.myshopify.com,1,19.0,1.0,1,0.0
denvar.myshopify.com,1,19.0,1.0,1,0.0
jkap.myshopify.com,1,5.0,1.0,1,0.0
kramer.myshopify.com,1,19.0,1.0,1,0.0
sepp.myshopify.com,1,19.0,1.0,1,0.0
patrik.myshopify.com,1,19.0,1.0,1,0.0
desert-blossom.myshopify.com,1,19.0,1.0,1,0.0
briana.myshopify.com,1,19.0,1.0,1,0.0
radiocalvario.myshopify.com,1,19.0,1.0,1,0.0
hoss.myshopify.com,1,19.0,1.0,1,0.0
scottc.myshopify.com,1,19.0,1.0,1,0.0
eurobath.myshopify.com,1,695.0,1.0,1,1.0
evesexample.myshopify.com,1,19.0,1.0,1,0.0
endurancehosting.myshopify.com,1,19.0,1.0,1,0.0
thefoundation.myshopify.com,1,19.0,1.0,1,0.0
laxir.myshopify.com,1,19.0,1.0,1,0.0
twosuperb.myshopify.com,1,19.0,1.0,1,0.0
fauntle.myshopify.com,1,8.99,1.0,1,0.0
thebeloveddisciple.myshopify.com,1,14.45,1.0,1,0.0
probas2.myshopify.com,1,19.0,1.0,1,0.0
frisbee.myshopify.com,1,19.0,1.0,1,0.0
meakulpa.myshopify.com,1,19.0,1.0,1,0.0
evanwatts.myshopify.com,1,19.0,1.0,1,0.0
purminerals.myshopify.com,1,24.5,1.0,1,0.0
pjkelly.myshopify.com,1,19.0,1.0,1,0.0
gigs.myshopify.com,1,19.0,1.0,1,0.0
advertis.myshopify.com,1,19.0,1.0,1,0.0
veryjewelry.myshopify.com,1,19.0,1.0,1,0.0
sandals.myshopify.com,1,19.0,1.0,1,0.0
pogo.myshopify.com,1,18.0,1.0,1,0.0
popler.myshopify.com,1,99.0,1.0,1,0.0
tonys.myshopify.com,1,19.0,1.0,1,0.0
pittsburghfools.myshopify.com,1,19.0,1.0,1,0.0
alexburr.myshopify.com,1,19.0,1.0,1,0.0
sunnyday.myshopify.com,1,29.0,1.0,1,0.0
yeah.myshopify.com,1,19.0,1.0,1,0.0
hwenki.myshopify.com,1,19.0,1.0,1,0.0
formpage.myshopify.com,1,10.0,1.0,1,0.0
homepro.myshopify.com,1,19.0,1.0,1,0.0
vohm.myshopify.com,1,19.0,1.0,1,0.0
aris2.myshopify.com,1,19.0,1.0,1,0.0
benr.myshopify.com,1,19.0,1.0,1,0.0
enigma.myshopify.com,1,19.0,1.0,1,0.0
chirowear.myshopify.com,1,19.0,1.0,1,0.0
snazzybeads.myshopify.com,1,19.0,1.0,1,0.0
skinrevivalsolutions.myshopify.com,1,19.0,1.0,1,0.0
fotograma1.myshopify.com,1,19.0,1.0,1,0.0
parkology.myshopify.com,1,19.0,1.0,1,0.0
wildsproket.myshopify.com,1,19.0,1.0,1,0.0
dartsfilmz.myshopify.com,1,19.0,1.0,1,0.0
kidsandpetsfurniture.myshopify.com,1,19.0,1.0,1,0.0
onset-software.myshopify.com,1,19.0,1.0,1,0.0
diffstudios.myshopify.com,1,19.0,1.0,1,0.0
ryanbooker.myshopify.com,1,19.0,1.0,1,0.0
bcom.myshopify.com,1,19.0,1.0,1,0.0
emrehancerli.myshopify.com,1,19.0,1.0,1,0.0
badstue.myshopify.com,1,5.0,1.0,1,0.0
rottedbrain.myshopify.com,1,19.0,1.0,1,0.0
zegenvs.myshopify.com,1,19.0,1.0,1,0.0
reggie.myshopify.com,1,19.0,1.0,1,0.0
silkflowers.myshopify.com,1,19.0,1.0,1,0.0
bookshop.myshopify.com,1,19.0,1.0,1,0.0
holidaycactusemporium.myshopify.com,1,30.0,1.0,1,0.0
gameon.myshopify.com,1,19.0,1.0,1,0.0
essien.myshopify.com,1,19.0,1.0,1,0.0
branleighs.myshopify.com,1,19.0,1.0,1,0.0
julia.myshopify.com,1,4.99,1.0,1,0.0
fikiki.myshopify.com,1,19.0,1.0,1,0.0
tobias.myshopify.com,1,19.0,1.0,1,0.0
showeasy.myshopify.com,1,19.0,1.0,1,0.0
blackorange.myshopify.com,1,19.0,1.0,1,0.0
hogbackridge.myshopify.com,1,19.0,1.0,1,0.0
kustomkicks.myshopify.com,12,100.0,1.0,1,0.0
barbecue.myshopify.com,1,19.0,1.0,1,0.0
dashts.myshopify.com,1,19.0,1.0,1,0.0
palmstedt.myshopify.com,1,19.0,1.0,1,0.0
abcd.myshopify.com,1,19.0,1.0,1,0.0
branchesdesign.myshopify.com,1,19.0,1.0,1,0.0
phpmagazine.myshopify.com,1,19.0,1.0,1,0.0
movieexposhop.myshopify.com,1,19.0,1.0,1,0.0
imran.myshopify.com,1,19.0,1.0,1,0.0
tandk.myshopify.com,1,1.0,1.0,1,0.0
knowledgeinc.myshopify.com,1,19.0,1.0,1,0.0
romero.myshopify.com,1,19.0,1.0,1,0.0
awenydd.myshopify.com,1,19.0,1.0,1,0.0
acollegetrade.myshopify.com,1,19.0,1.0,1,0.0
andbreakfast.myshopify.com,1,19.0,1.0,1,0.0
nexxer.myshopify.com,1,50.0,1.0,1,0.0
brandpig.myshopify.com,1,19.0,1.0,1,0.0
bambooconcepts.myshopify.com,1,19.0,1.0,1,0.0
eastjerky.myshopify.com,1,19.0,1.0,1,0.0
zackwilson.myshopify.com,1,55.0,1.0,1,1.0
words.myshopify.com,1,19.0,1.0,1,0.0
sweetheart.myshopify.com,2,12.0,1.0,1,0.0
